Ideal Time; 100 Tasks; 25; 28948,000000
Time Spent; 100 Tasks; 25; 77980
Red Time; 100 Tasks; 25; 979520
Ideal Time; 100 Tasks; 25; 28948,000000
Time Spent; 100 Tasks; 25; 78160
Red Time; 100 Tasks; 25; 1151080
Ideal Time; 100 Tasks; 50; 14474,000000
Time Spent; 100 Tasks; 50; 78820
Red Time; 100 Tasks; 50; 3010840
Ideal Time; 100 Tasks; 50; 14326,600000
Time Spent; 100 Tasks; 50; 77920
Red Time; 100 Tasks; 50; 3089340
Ideal Time; 100 Tasks; 100; 7163,300000
Time Spent; 100 Tasks; 100; 76060
Red Time; 100 Tasks; 100; 6808540
Ideal Time; 100 Tasks; 100; 7188,940000
Time Spent; 100 Tasks; 100; 77000
Red Time; 100 Tasks; 100; 6900060
